,datetime,year,month,day,hour,minutes,temp,hum,rain
13,"{u'mday': u'06', u'hour': u'06', u'min': u'30', u'mon': u'08', u'pretty': u'6:30 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,6,30,16.0,77,0
14,"{u'mday': u'06', u'hour': u'07', u'min': u'04', u'mon': u'08', u'pretty': u'7:04 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,7,4,16.0,77,0
15,"{u'mday': u'06', u'hour': u'07', u'min': u'30', u'mon': u'08', u'pretty': u'7:30 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,7,30,16.0,77,0
16,"{u'mday': u'06', u'hour': u'08', u'min': u'00', u'mon': u'08', u'pretty': u'8:00 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,8,0,18.0,77,0
17,"{u'mday': u'06', u'hour': u'08', u'min': u'30', u'mon': u'08', u'pretty': u'8:30 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,8,30,19.0,68,0
18,"{u'mday': u'06', u'hour': u'09', u'min': u'00', u'mon': u'08', u'pretty': u'9:00 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,9,0,21.0,60,0
19,"{u'mday': u'06', u'hour': u'09', u'min': u'30', u'mon': u'08', u'pretty': u'9:30 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,9,30,22.0,60,0
20,"{u'mday': u'06', u'hour': u'10', u'min': u'00', u'mon': u'08', u'pretty': u'10:00 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,10,0,24.0,50,0
21,"{u'mday': u'06', u'hour': u'10', u'min': u'30', u'mon': u'08', u'pretty': u'10:30 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,10,30,26.0,44,0
22,"{u'mday': u'06', u'hour': u'11', u'min': u'00', u'mon': u'08', u'pretty': u'11:00 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,11,0,27.0,42,0
23,"{u'mday': u'06', u'hour': u'11', u'min': u'05', u'mon': u'08', u'pretty': u'11:05 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,11,5,27.0,42,0
